,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1172,1,1,1,76.0,pass,147.0,3.0,-10.0,0.07566602012854676,0.19363402016651954,0.488374094246273,1.0
1173,1,0,15,15.0,pass,749.0,3.0,-13.0,0.6510813466382479,0.28825419025527604,3.747188321491525,0.0
1174,1,0,5,50.0,pass,1217.0,3.0,15.0,0.3216911847640466,0.3657637077429478,1.9138984458432853,1.0
1175,1,0,5,65.0,pass,1716.0,3.0,-9.0,0.22470390846763666,0.31767863279316383,0.4666774189309562,1.0
1176,0,0,13,83.0,pass,1129.0,3.0,3.0,0.13226993137546994,0.20049435501267115,-1.6193799181673303,0.0
1177,1,0,7,53.0,pass,285.0,3.0,1.0,0.2231260267880176,0.2520090814279851,1.2254899402820072,0.0
1178,1,0,5,38.0,pass,775.0,3.0,4.0,0.3898794809527987,0.3728396529098044,2.728947272007581,1.0
1179,1,0,11,76.0,pass,1761.0,3.0,3.0,0.16584498329744485,0.23052252032635645,-1.0994795807555948,0.0
1180,1,0,4,74.0,pass,747.0,3.0,0.0,0.1625896269059786,0.2861349234912252,0.04162159118401765,0.0
1181,1,0,12,12.0,pass,842.0,3.0,-35.0,0.6259322149354903,0.32033227574459805,3.9049651713707054,0.0
1182,1,0,10,70.0,pass,68.0,3.0,-16.0,0.11664724600861535,0.09213114443275376,0.487765317126451,0.0
1183,1,0,6,6.0,pass,82.0,3.0,-10.0,0.5462800377785452,0.2763399211947258,3.5008979100391264,1.0
1184,1,0,5,42.0,pass,1564.0,3.0,-6.0,0.37567474307277937,0.3737827581460073,2.4217509089085905,1.0
1185,0,0,4,64.0,pass,900.0,3.0,-4.0,0.2237502502633025,0.3359151076121674,0.912866456938666,1.0
1186,1,0,5,78.0,pass,579.0,3.0,26.0,0.1335177515727379,0.2382842855758042,-0.365443062755284,1.0
1187,0,0,4,10.0,pass,716.0,3.0,5.0,0.5483934135890449,0.3591184507073621,3.783951693546039,0.0
1188,1,0,3,32.0,pass,174.0,3.0,-11.0,0.31206533128999425,0.3120055858098399,2.5427280966868424,1.0
1189,1,0,7,30.0,pass,570.0,3.0,10.0,0.4369925632376786,0.34310721281938045,2.911840654218912,0.0
1190,1,0,3,52.0,pass,1666.0,3.0,0.0,0.29764727328351315,0.3887511045460595,1.9527786296040333,1.0
1191,1,0,6,21.0,pass,1477.0,3.0,10.0,0.5162941079422098,0.35654455048397443,3.3836736747827167,0.0
1192,1,0,10,62.0,pass,50.0,3.0,-10.0,0.1482400348414796,0.10351505588230256,0.7335316035272403,1.0
1193,1,0,10,41.0,pass,24.0,3.0,16.0,0.2721061517787613,0.13743427254488566,1.4904454480810112,0.0
1194,1,0,6,77.0,pass,203.0,3.0,-33.0,0.08885171080245666,0.15116382449093993,-0.1817997134270224,0.0
1195,1,0,7,57.0,pass,1275.0,3.0,7.0,0.2815232207423672,0.3289573206630497,1.1199923492971022,1.0
1196,1,0,11,41.0,pass,1659.0,3.0,0.0,0.4031605020288092,0.32714253645469904,2.070667964894368,1.0
1197,0,0,1,57.0,pass,271.0,3.0,-3.0,0.17144082667789876,0.3259186481206425,1.793470774579141,1.0
1198,1,1,2,19.0,pass,1578.0,3.0,-3.0,0.4816752690770906,0.41659661522853336,3.83133537774158,1.0
1199,1,0,10,10.0,pass,678.0,3.0,-3.0,0.5937597383862113,0.3467896004642881,4.004815852783092,0.0
1200,1,0,7,25.0,pass,195.0,3.0,-6.0,0.3913546442581211,0.2874335857737141,2.642143613281793,0.0
1201,1,0,4,50.0,pass,502.0,3.0,3.0,0.27787817492452804,0.339769631289159,1.9268767817614925,1.0
1202,1,0,9,44.0,pass,1290.0,3.0,7.0,0.3770308293762597,0.3394844432008549,2.0332861012171524,0.0
1203,1,0,10,97.0,pass,638.0,3.0,-17.0,0.0694334193401914,0.14094619101967584,-2.132820830491695,0.0
1204,1,0,12,47.0,pass,1519.0,3.0,0.0,0.3617570254595208,0.3167885111769683,1.604033823597316,0.0
1205,1,0,3,63.0,pass,607.0,3.0,-20.0,0.20783747567520933,0.33150568243281825,1.157487974956357,1.0
1206,1,0,5,43.0,pass,1306.0,3.0,0.0,0.3687893029694728,0.3753639200772597,2.4047515230370844,0.0
1207,1,0,8,53.0,pass,1195.0,3.0,-11.0,0.3106907400143095,0.3314451335041512,1.4066076263826175,1.0
1208,1,0,11,36.0,pass,1157.0,3.0,-13.0,0.4381256080956756,0.33374964232879856,2.4867598982411105,0.0
1209,1,0,2,2.0,pass,163.0,3.0,-2.0,0.2796889787500165,0.5930563496575552,4.8249453818081625,1.0
1210,1,0,9,79.0,pass,1719.0,3.0,0.0,0.14972411381421066,0.22881836449973725,-1.247118671693252,0.0
1211,1,0,14,92.0,pass,488.0,3.0,-21.0,0.07615083076225422,0.1327376589889651,-1.7229228877512883,0.0
1212,1,0,10,48.0,pass,728.0,3.0,-3.0,0.3353039068457533,0.318292104280272,1.7158921539883347,0.0
